deck_grp,deck_name,deck_time
aniiex09,aniiex09.in,53670000
aniiex14,aniiex14.in,21520000
aniiex04,aniiex04.in,250000
aniiex17,aniiex17.in,17040000
solidex05,solidex05.in,560000
solidex01,solidex01.in,600000
solidex08,solidex08.in,600000
solidex06,solidex06.in,600000
solidex07,solidex07.in,620000
solidex02,solidex02.in,650000
solidex03,solidex03.in,580000
solidex04,solidex04.in,670000
vpex02,vpex02.in,1900000
vpex05,vpex05.in,2420000
vpex08,vpex08.in,1890000
vpex08,vpex08_diff.in,410000
vpex07,vpex07.in,2380000
vpex06,vpex06.in,1910000
vpex09,vpex09.in,2410000
vpex04,vpex04.in,910000
vpex03,vpex03.in,2420000
vpex10,vpex10.in,1910000
mercuryex04,mercuryex04.in,3390000
mercuryex08,mercuryex08.in,70230000
mercuryex08,mercuryex08_template.in,420000
mercuryex01,mercuryex01.in,1730000
mercuryex05,mercuryex05.in,14540000
mercuryex02,mercuryex02.in,5460000
mercuryex07,mercuryex07_template.in,2690000
mercuryex07,mercuryex07.in,36470000
mercuryex06,mercuryex06.in,598360000
mercuryex03,mercuryex03.in,5000000
noiseex04,noiseex04.in,13900000
noiseex02,noiseex02.in,20700000
noiseex05,noiseex05.in,48350000
noiseex03,noiseex03.in,25180000
noiseex01,noiseex01.in,3250000
